,params,rank_test_roc_auc,rank_test_accuracy,rank_test_average_precision
6196,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 5}",6193,6655,7171
6197,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 6}",6142,6639,7148
6198,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 7}",6126,6630,7119
6199,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 8}",6112,6614,7119
6200,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 9}",6119,6614,7119
6201,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 1}",6351,6695,7354
6202,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 2}",6272,6695,7277
6203,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 3}",6222,6664,7185
6204,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 4}",6234,6695,7192
6205,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 5}",6193,6655,7171
6206,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 6}",6142,6639,7148
6207,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 7}",6126,6630,7119
6208,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 8}",6112,6614,7119
6209,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 9}",6119,6614,7119
6210,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 1}",6351,6695,7354
6211,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 2}",6272,6695,7277
6212,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 3}",6222,6664,7185
6213,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 4}",6234,6695,7192
6214,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 5}",6193,6655,7171
6215,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 6}",6142,6639,7148
6216,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 7}",6126,6630,7119
6217,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 8}",6112,6614,7119
6218,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 9}",6119,6614,7119
6219,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 1}",6351,6695,7354
6220,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 2}",6272,6695,7277
6221,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 3}",6222,6664,7185
6222,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 4}",6234,6695,7192
6223,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 5}",6193,6655,7171
6224,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 6}",6142,6639,7148
6225,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 7}",6126,6630,7119
6226,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 8}",6112,6614,7119
6227,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 9}",6119,6614,7119
6228,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 1}",6351,6695,7354
6229,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 2}",6272,6695,7277
6230,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 3}",6222,6664,7185
6231,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 4}",6234,6695,7192
6232,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 5}",6193,6655,7171
6233,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 6}",6142,6639,7148
6234,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 7}",6126,6630,7119
6235,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 8}",6112,6614,7119
6236,"{'model__bootstrap': False, 'model__max_depth': 2, 'model__max_features': None, 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 9}",6119,6614,7119
6237,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 1}",9743,10203,9608
6238,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 2}",9391,9638,9064
6239,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 3}",7177,7803,5969
6240,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 4}",5588,6181,5389
6241,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 5}",4767,4848,4763
6242,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 6}",3689,3742,3310
6243,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 7}",2844,3707,2543
6244,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 8}",2560,2761,2352
6245,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 9}",1187,1842,1322
6246,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 1}",9671,10205,9564
6247,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 2}",9219,9622,8993
6248,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 3}",6939,7636,5824
6249,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 4}",5377,5721,5270
6250,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 5}",4662,4991,4691
6251,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 6}",3509,3418,3123
6252,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 7}",2656,3430,2391
6253,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 8}",2400,2478,2141
6254,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 9}",1150,1877,1266
6255,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 1}",9657,10179,9534
6256,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 2}",9217,9616,8974
6257,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 3}",6929,7626,5786
6258,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 4}",5369,5719,5238
6259,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 5}",4664,5008,4685
6260,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 6}",3523,3457,3134
6261,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 7}",2658,3507,2417
6262,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 8}",2429,2538,2178
6263,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 9}",1157,1803,1272
6264,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 1}",9657,10179,9534
6265,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 2}",9213,9614,8980
6266,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 3}",6927,7628,5800
6267,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 4}",5373,5696,5240
6268,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 5}",4672,4913,4695
6269,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 6}",3521,3302,3125
6270,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 7}",2652,3430,2407
6271,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 8}",2404,2476,2145
6272,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 9}",1148,1708,1223
6273,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 1}",9657,10179,9534
6274,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 2}",9211,9610,8968
6275,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 3}",6918,7614,5778
6276,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 4}",5364,5608,5214
6277,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 5}",4670,4838,4683
6278,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 6}",3511,3212,3120
6279,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 7}",2646,3409,2384
6280,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 8}",2340,2478,2017
6281,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 9}",1127,1704,1204
6282,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 1}",9669,10187,9530
6283,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 2}",9209,9612,8957
6284,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 3}",6920,7642,5776
6285,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 4}",5361,5670,5216
6286,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 5}",4690,4967,4689
6287,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 6}",3519,3308,3127
6288,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 7}",2644,3501,2387
6289,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 8}",2380,2501,2118
6290,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 9}",1155,1700,1270
6291,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 1}",9663,10185,9524
6292,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 2}",9205,9563,8934
6293,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 3}",6911,7638,5766
6294,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 4}",5358,5610,5218
6295,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 5}",4668,4982,4693
6296,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 6}",3527,3304,3132
6297,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 7}",2621,3530,2359
6298,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 8}",2499,2598,2222
6299,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 9}",1308,1842,1439
6300,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 1}",9647,10189,9542
6301,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 2}",9189,9541,8876
6302,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 3}",6867,7573,5737
6303,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 4}",5304,5207,5063
6304,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 5}",4557,4232,4549
6305,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 6}",3435,2727,3050
6306,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 7}",2330,2649,1761
6307,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 8}",1717,1857,1397
6308,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 9}",881,1477,817
6309,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 1}",9647,10189,9542
6310,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 2}",9189,9541,8876
6311,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 3}",6867,7573,5737
6312,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 4}",5304,5207,5063
6313,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 5}",4557,4232,4549
6314,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 6}",3435,2727,3050
6315,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 7}",2330,2649,1761
6316,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 8}",1717,1857,1397
6317,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 9}",881,1477,817
6318,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 1}",9647,10189,9542
6319,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 2}",9189,9541,8876
6320,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 3}",6867,7573,5737
6321,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 4}",5304,5207,5063
6322,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 5}",4557,4232,4549
6323,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 6}",3435,2727,3050
6324,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 7}",2330,2649,1761
6325,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 8}",1717,1857,1397
6326,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 9}",881,1477,817
6327,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 1}",9647,10189,9542
6328,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 2}",9169,9547,8882
6329,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 3}",6876,7586,5754
6330,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 4}",5304,5178,5061
6331,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 5}",4569,4081,4547
6332,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 6}",3441,2590,3036
6333,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 7}",2324,2586,1753
6334,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 8}",1676,1827,1324
6335,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 9}",890,1397,808
6336,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 1}",9647,10189,9542
6337,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 2}",9165,9539,8874
6338,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 3}",6858,7589,5735
6339,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 4}",5294,5113,5036
6340,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 5}",4567,4031,4534
6341,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 6}",3417,2548,3022
6342,"{'model__bootstrap': False, 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 7}",2293,2542,1711
